HomeTeam,AwayTeam,FTHG,FTAG
West Ham,Wolves,2,1
Arsenal,Everton,0,0
Liverpool,Fulham,2,2
Newcastle,Leicester,4,0
Wolves,Ipswich,1,2
Nott'm Forest,Aston Villa,2,1
Brighton,Crystal Palace,1,3
Man City,Man United,1,2
Chelsea,Brentford,2,1
Southampton,Tottenham,0,5
Bournemouth,West Ham,1,1
Aston Villa,Man City,2,1
Brentford,Nott'm Forest,0,2
Ipswich,Newcastle,0,4
West Ham,Brighton,1,1
Crystal Palace,Arsenal,1,5
Everton,Chelsea,0,0
Fulham,Southampton,0,0
Leicester,Wolves,0,3
Man United,Bournemouth,0,3
Tottenham,Liverpool,3,6
Man City,Everton,1,1
Bournemouth,Crystal Palace,0,0
Chelsea,Fulham,1,2
Newcastle,Aston Villa,3,0
Nott'm Forest,Tottenham,1,0
Southampton,West Ham,0,1
Wolves,Man United,2,0
Liverpool,Leicester,3,1
Brighton,Brentford,0,0
Arsenal,Ipswich,1,0
Leicester,Man City,0,2
Crystal Palace,Southampton,2,1
Everton,Nott'm Forest,0,2
Fulham,Bournemouth,2,2
Tottenham,Wolves,2,2
West Ham,Liverpool,0,5
Aston Villa,Brighton,2,2
Ipswich,Chelsea,2,0
Man United,Newcastle,0,2
Brentford,Arsenal,1,3
Tottenham,Newcastle,1,2
Aston Villa,Leicester,2,1
Bournemouth,Everton,1,0
Crystal Palace,Chelsea,1,1
Man City,West Ham,4,1
Southampton,Brentford,0,5
Brighton,Arsenal,1,1
Fulham,Ipswich,2,2
Liverpool,Man United,2,2
Wolves,Nott'm Forest,0,3
Brentford,Man City,2,2
Chelsea,Bournemouth,2,2
West Ham,Fulham,3,2
Nott'm Forest,Liverpool,1,1
Everton,Aston Villa,0,1
Leicester,Crystal Palace,0,2
Newcastle,Wolves,3,0
Arsenal,Tottenham,2,1
Ipswich,Brighton,0,2
Man United,Southampton,3,1
Newcastle,Bournemouth,1,4
Brentford,Liverpool,0,2
Leicester,Fulham,0,2
West Ham,Crystal Palace,0,2
Arsenal,Aston Villa,2,2
Everton,Tottenham,3,2
Man United,Brighton,1,3
Nott'm Forest,Southampton,3,2
Ipswich,Man City,0,6
Chelsea,Wolves,3,1
Bournemouth,Nott'm Forest,5,0
Brighton,Everton,0,1
Liverpool,Ipswich,4,1
Southampton,Newcastle,1,3
Wolves,Arsenal,0,1
Man City,Chelsea,3,1
Crystal Palace,Brentford,1,2
Tottenham,Leicester,1,2
Aston Villa,West Ham,1,1
Fulham,Man United,0,1
Nott'm Forest,Brighton,7,0
Bournemouth,Liverpool,0,2
Everton,Leicester,4,0
Ipswich,Southampton,1,2
Newcastle,Fulham,1,2
Wolves,Aston Villa,2,0
Brentford,Tottenham,0,2
Man United,Crystal Palace,0,2
Arsenal,Man City,5,1
Chelsea,West Ham,2,1
Everton,Liverpool,2,2
Brighton,Chelsea,3,0
Leicester,Arsenal,0,2
Aston Villa,Ipswich,1,1
Fulham,Nott'm Forest,2,1
Man City,Newcastle,4,0
Southampton,Bournemouth,1,3
West Ham,Brentford,0,1
Crystal Palace,Everton,1,2
Liverpool,Wolves,2,1
Tottenham,Man United,1,0
Aston Villa,Liverpool,2,2
Leicester,Brentford,0,4
Everton,Man United,2,2
Arsenal,West Ham,0,1
Bournemouth,Wolves,0,1
Fulham,Crystal Palace,0,2
Ipswich,Tottenham,1,4
Southampton,Brighton,0,4
Aston Villa,Chelsea,2,1
Newcastle,Nott'm Forest,4,3
Man City,Liverpool,0,2
Brighton,Bournemouth,2,1
Crystal Palace,Aston Villa,4,1
Wolves,Fulham,1,2
Chelsea,Southampton,4,0
Brentford,Everton,1,1
Man United,Ipswich,3,2
Nott'm Forest,Arsenal,0,0
Tottenham,Man City,0,1
Liverpool,Newcastle,2,0
West Ham,Leicester,2,0
Nott'm Forest,Man City,1,0
Brighton,Fulham,2,1
Crystal Palace,Ipswich,1,0
Liverpool,Southampton,3,1
Brentford,Aston Villa,0,1
Wolves,Everton,1,1
Chelsea,Leicester,1,0
Tottenham,Bournemouth,2,2
Man United,Arsenal,1,1
West Ham,Newcastle,0,1
Everton,West Ham,1,1
Ipswich,Nott'm Forest,2,4
Man City,Brighton,2,2
Southampton,Wolves,1,2
Bournemouth,Brentford,1,2
Arsenal,Chelsea,1,0
Fulham,Tottenham,2,0
Leicester,Man United,0,3
Arsenal,Fulham,2,1
Wolves,West Ham,1,0
Nott'm Forest,Man United,1,0
Bournemouth,Ipswich,1,2
Brighton,Aston Villa,0,3
Man City,Leicester,2,0
Newcastle,Brentford,2,1
Southampton,Crystal Palace,1,1
Liverpool,Everton,1,0
Chelsea,Tottenham,1,0
Everton,Arsenal,1,1
Crystal Palace,Brighton,2,1
Ipswich,Wolves,1,2
West Ham,Bournemouth,2,2
Aston Villa,Nott'm Forest,2,1
Brentford,Chelsea,0,0
Fulham,Liverpool,3,2
Tottenham,Southampton,3,1
Man United,Man City,0,0
Leicester,Newcastle,0,3
Man City,Crystal Palace,5,2
Brighton,Leicester,2,2
Nott'm Forest,Everton,0,1
Southampton,Aston Villa,0,3
Arsenal,Brentford,1,1
Chelsea,Ipswich,2,2
Liverpool,West Ham,2,1
Wolves,Tottenham,4,2
Newcastle,Man United,4,1
Bournemouth,Fulham,1,0
Newcastle,Crystal Palace,5,0
Brentford,Brighton,4,2
Crystal Palace,Bournemouth,0,0
Everton,Man City,0,2
West Ham,Southampton,1,1
Aston Villa,Newcastle,4,1
Fulham,Chelsea,1,2
Ipswich,Arsenal,0,4
Man United,Wolves,0,1
Leicester,Liverpool,0,1
Tottenham,Nott'm Forest,1,2
Man City,Aston Villa,2,1
Arsenal,Crystal Palace,2,2
Chelsea,Everton,1,0
Brighton,West Ham,3,2
Newcastle,Ipswich,3,0
Southampton,Fulham,1,2
Wolves,Leicester,3,0
Bournemouth,Man United,1,1
Liverpool,Tottenham,5,1
Nott'm Forest,Brentford,0,2
Man City,Wolves,1,0
Aston Villa,Fulham,1,0
Everton,Ipswich,2,2
Leicester,Southampton,2,0
Arsenal,Bournemouth,1,2
Brentford,Man United,4,3
Brighton,Newcastle,1,1
West Ham,Tottenham,1,1
Chelsea,Liverpool,3,1
Crystal Palace,Nott'm Forest,1,1
Fulham,Everton,1,3
Ipswich,Brentford,0,1
Southampton,Man City,0,0
Wolves,Brighton,0,2
Bournemouth,Aston Villa,0,1
Newcastle,Chelsea,2,0
Man United,West Ham,0,2
Nott'm Forest,Leicester,2,2
Tottenham,Crystal Palace,0,2
Liverpool,Arsenal,2,2
Aston Villa,Tottenham,2,0
Chelsea,Man United,1,0
Everton,Southampton,2,0
West Ham,Nott'm Forest,1,2
Brentford,Fulham,2,3
Leicester,Ipswich,2,0
Arsenal,Newcastle,1,0
Brighton,Liverpool,3,2
Crystal Palace,Wolves,4,2
Man City,Bournemouth,3,1
Bournemouth,Leicester,2,0
Fulham,Man City,0,2
Ipswich,West Ham,1,3
Liverpool,Crystal Palace,1,1
Man United,Aston Villa,2,0
Newcastle,Everton,0,1
Nott'm Forest,Chelsea,0,1
Southampton,Arsenal,1,2
Tottenham,Brighton,1,4
Wolves,Brentford,1,1
Ath Bilbao,Getafe,1,1
Betis,Girona,1,1
Celta,Alaves,2,1
Las Palmas,Sevilla,2,2
Osasuna,Leganes,1,1
Valencia,Barcelona,1,2
Sociedad,Vallecano,1,2
Mallorca,Real Madrid,1,1
Valladolid,Espanol,1,0
Villarreal,Ath Madrid,2,2
Celta,Valencia,3,1
Sevilla,Villarreal,1,2
Osasuna,Mallorca,1,0
Barcelona,Ath Bilbao,2,1
Espanol,Sociedad,0,1
Getafe,Vallecano,0,0
Real Madrid,Valladolid,3,0
Leganes,Las Palmas,2,1
Alaves,Betis,0,0
Ath Madrid,Girona,3,0
Villarreal,Celta,4,3
Mallorca,Sevilla,0,0
Vallecano,Barcelona,1,2
Ath Bilbao,Valencia,1,0
Valladolid,Leganes,0,0
Ath Madrid,Espanol,0,0
Sociedad,Alaves,1,2
Girona,Osasuna,4,0
Las Palmas,Real Madrid,1,1
Barcelona,Valladolid,7,0
Ath Bilbao,Ath Madrid,0,1
Espanol,Vallecano,2,1
Leganes,Mallorca,0,1
Valencia,Villarreal,1,1
Alaves,Las Palmas,2,0
Osasuna,Celta,3,2
Sevilla,Girona,0,2
Getafe,Sociedad,0,0
Real Madrid,Betis,2,0
Betis,Leganes,2,0
Mallorca,Villarreal,1,2
Espanol,Alaves,3,2
Sevilla,Getafe,1,0
Sociedad,Real Madrid,0,2
Celta,Valladolid,3,1
Girona,Barcelona,1,4
Las Palmas,Ath Bilbao,2,3
Ath Madrid,Valencia,3,0
Vallecano,Osasuna,3,1
Mallorca,Sociedad,1,0
Betis,Getafe,2,1
Leganes,Ath Bilbao,0,2
Alaves,Sevilla,2,1
Valladolid,Sociedad,0,0
Osasuna,Las Palmas,2,1
Valencia,Girona,2,0
Real Madrid,Espanol,4,1
Getafe,Leganes,1,1
Ath Bilbao,Celta,3,1
Villarreal,Barcelona,1,5
Vallecano,Ath Madrid,1,1
Betis,Mallorca,1,2
Sevilla,Valladolid,2,1
Valencia,Osasuna,0,0
Real Madrid,Alaves,3,2
Girona,Vallecano,0,0
Barcelona,Getafe,1,0
Espanol,Villarreal,1,2
Las Palmas,Betis,1,1
Celta,Ath Madrid,0,1
Valladolid,Mallorca,1,2
Getafe,Alaves,2,0
Vallecano,Leganes,1,1
Sociedad,Valencia,3,0
Osasuna,Barcelona,4,2
Celta,Girona,1,1
Ath Bilbao,Sevilla,1,1
Betis,Espanol,1,0
Ath Madrid,Real Madrid,1,1
Villarreal,Las Palmas,3,1
Leganes,Valencia,0,0
Espanol,Mallorca,2,1
Getafe,Osasuna,1,1
Las Palmas,Celta,0,1
Valladolid,Vallecano,1,2
Real Madrid,Villarreal,2,0
Girona,Ath Bilbao,2,1
Alaves,Barcelona,0,3
Sevilla,Betis,1,0
Sociedad,Ath Madrid,1,1
Alaves,Valladolid,2,3
Ath Bilbao,Espanol,4,1
Osasuna,Betis,1,2
Girona,Sociedad,0,1
Celta,Real Madrid,1,2
Mallorca,Vallecano,1,0
Ath Madrid,Leganes,3,1
Villarreal,Getafe,1,1
Barcelona,Sevilla,5,1
Valencia,Las Palmas,2,3
Espanol,Sevilla,0,2
Valladolid,Villarreal,1,2
Vallecano,Alaves,1,0
Las Palmas,Girona,1,0
Real Madrid,Barcelona,0,4
Leganes,Celta,3,0
Getafe,Valencia,1,1
Betis,Ath Madrid,1,0
Sociedad,Osasuna,0,2
Mallorca,Ath Bilbao,0,0
Alaves,Mallorca,1,0
Osasuna,Valladolid,1,0
Girona,Leganes,4,3
Ath Madrid,Las Palmas,2,0
Barcelona,Espanol,3,1
Sevilla,Sociedad,0,2
Ath Bilbao,Betis,1,1
Celta,Getafe,1,0
Vallecano,Las Palmas,1,3
Real Madrid,Osasuna,4,0
Villarreal,Alaves,3,0
Leganes,Sevilla,1,0
Betis,Celta,2,2
Mallorca,Ath Madrid,0,1
Getafe,Girona,0,1
Valladolid,Ath Bilbao,1,1
Sociedad,Barcelona,1,0
Getafe,Valladolid,2,0
Valencia,Betis,4,2
Ath Madrid,Alaves,2,1
Girona,Espanol,4,1
Las Palmas,Mallorca,2,3
Celta,Barcelona,2,2
Osasuna,Villarreal,2,2
Sevilla,Vallecano,1,0
Leganes,Real Madrid,0,3
Ath Bilbao,Sociedad,1,0
Mallorca,Valencia,2,1
Barcelona,Las Palmas,1,2
Alaves,Leganes,1,1
Espanol,Celta,3,1
Valladolid,Ath Madrid,0,5
Villarreal,Girona,2,2
Real Madrid,Getafe,2,0
Vallecano,Ath Bilbao,1,2
Sociedad,Betis,2,0
Sevilla,Osasuna,1,1
Mallorca,Barcelona,1,5
Ath Bilbao,Real Madrid,2,1
Celta,Mallorca,2,0
Las Palmas,Valladolid,2,1
Betis,Barcelona,2,2
Valencia,Vallecano,0,1
Girona,Real Madrid,0,3
Leganes,Sociedad,0,3
Ath Bilbao,Villarreal,2,0
Osasuna,Alaves,2,2
Ath Madrid,Sevilla,4,3
Getafe,Espanol,1,0
Valladolid,Valencia,1,0
Espanol,Osasuna,0,0
Mallorca,Girona,2,1
Sevilla,Celta,1,0
Vallecano,Real Madrid,3,3
Ath Madrid,Getafe,1,0
Alaves,Ath Bilbao,1,1
Sociedad,Las Palmas,0,0
Villarreal,Betis,1,2
Barcelona,Leganes,0,1
Espanol,Valencia,1,1
Villarreal,Vallecano,1,1
Girona,Valladolid,3,0
Getafe,Mallorca,0,1
Celta,Sociedad,2,0
Osasuna,Ath Bilbao,1,2
Barcelona,Ath Madrid,1,2
Valencia,Alaves,2,2
Real Madrid,Sevilla,4,2
Las Palmas,Espanol,1,0
Leganes,Villarreal,2,5
Betis,Vallecano,1,1
Valencia,Real Madrid,1,2
Vallecano,Celta,2,1
Alaves,Girona,0,1
Valladolid,Betis,1,0
Espanol,Leganes,1,1
Sevilla,Valencia,1,1
Las Palmas,Getafe,1,2
Ath Madrid,Osasuna,1,0
Sociedad,Villarreal,1,0
Espanol,Valladolid,2,1
Girona,Sevilla,1,2
Leganes,Ath Madrid,1,0
Betis,Alaves,1,3
Getafe,Barcelona,1,1
Celta,Ath Bilbao,1,2
Real Madrid,Las Palmas,4,1
Osasuna,Vallecano,1,1
Valencia,Sociedad,1,0
Villarreal,Mallorca,4,0
Las Palmas,Osasuna,1,1
Mallorca,Betis,0,1
Ath Madrid,Villarreal,1,1
Sevilla,Espanol,1,1
Valladolid,Real Madrid,0,3
Vallecano,Girona,2,1
Sociedad,Getafe,0,3
Ath Bilbao,Leganes,0,0
Barcelona,Valencia,7,1
Alaves,Celta,1,1
Leganes,Vallecano,0,1
Getafe,Sevilla,0,0
Villarreal,Valladolid,5,1
Ath Madrid,Mallorca,2,0
Espanol,Real Madrid,1,0
Barcelona,Alaves,1,0
Valencia,Celta,2,1
Osasuna,Sociedad,2,1
Betis,Ath Bilbao,2,2
Girona,Las Palmas,2,1
Vallecano,Valladolid,1,0
Celta,Betis,3,2
Ath Bilbao,Girona,3,0
Las Palmas,Villarreal,1,2
Real Madrid,Ath Madrid,1,1
Alaves,Getafe,0,1
Valencia,Leganes,2,0
Sociedad,Espanol,2,1
Sevilla,Barcelona,1,4
Mallorca,Osasuna,1,1
Girona,Getafe,1,2
Leganes,Alaves,3,3
Osasuna,Real Madrid,1,1
Ath Madrid,Celta,1,1
Villarreal,Valencia,1,1
Espanol,Ath Bilbao,1,1
Valladolid,Sevilla,0,4
Mallorca,Las Palmas,3,1
Betis,Sociedad,3,0
Barcelona,Vallecano,1,0
Celta,Osasuna,1,0
Alaves,Espanol,0,1
Vallecano,Villarreal,0,1
Valencia,Ath Madrid,0,3
Las Palmas,Barcelona,0,2
Ath Bilbao,Valladolid,7,1
Real Madrid,Girona,2,0
Getafe,Betis,1,2
Sociedad,Leganes,3,0
Sevilla,Mallorca,1,1
Valladolid,Las Palmas,1,1
Girona,Celta,2,2
Vallecano,Sevilla,1,1
Betis,Real Madrid,2,1
Ath Madrid,Ath Bilbao,1,0
Leganes,Getafe,1,0
Barcelona,Sociedad,4,0
Mallorca,Alaves,1,1
Osasuna,Valencia,3,3
Celta,Leganes,2,1
Alaves,Villarreal,1,0
Valencia,Valladolid,2,1
Getafe,Ath Madrid,2,1
Real Madrid,Vallecano,2,1
Ath Bilbao,Mallorca,1,1
Betis,Las Palmas,1,0
Sociedad,Sevilla,0,1
Espanol,Girona,1,1
Las Palmas,Alaves,2,2
Valladolid,Celta,0,1
Mallorca,Espanol,2,1
Villarreal,Real Madrid,1,2
Girona,Valencia,1,1
Leganes,Betis,2,3
Sevilla,Ath Bilbao,0,1
Osasuna,Getafe,1,2
Vallecano,Sociedad,2,2
Ath Madrid,Barcelona,2,4
Barcelona,Osasuna,3,0
Sociedad,Valladolid,2,1
Espanol,Ath Madrid,1,1
Alaves,Vallecano,0,2
Real Madrid,Leganes,3,2
Getafe,Villarreal,1,2
Barcelona,Girona,4,1
Ath Bilbao,Osasuna,0,0
Valencia,Mallorca,1,0
Betis,Sevilla,2,1
Celta,Las Palmas,1,1
Vallecano,Espanol,0,4
Girona,Alaves,0,1
Real Madrid,Valencia,1,2
Mallorca,Celta,1,2
Barcelona,Betis,1,1
Las Palmas,Sociedad,1,3
Sevilla,Ath Madrid,1,2
Valladolid,Getafe,0,4
Villarreal,Ath Bilbao,0,0
Leganes,Osasuna,1,1
Valencia,Sevilla,1,0
Sociedad,Mallorca,0,2
Getafe,Las Palmas,1,3
Celta,Espanol,0,2
Leganes,Barcelona,0,1
Osasuna,Girona,2,1
Alaves,Real Madrid,0,1
Betis,Villarreal,1,2
Ath Bilbao,Vallecano,3,1
Ath Madrid,Valladolid,4,2
Espanol,Getafe,1,0
Vallecano,Valencia,1,1
Barcelona,Celta,4,3
Mallorca,Leganes,0,0
Las Palmas,Ath Madrid,1,0
Valladolid,Osasuna,2,3
Villarreal,Sociedad,2,2
Sevilla,Alaves,1,1
Real Madrid,Ath Bilbao,1,0
Girona,Betis,1,3
Valencia,Espanol,1,1
Barcelona,Mallorca,1,0
Ath Bilbao,Las Palmas,1,0
Celta,Villarreal,3,0
Alaves,Sociedad,1,0
Getafe,Real Madrid,0,1
Leganes,Girona,1,1
Osasuna,Sevilla,1,0
Ath Madrid,Vallecano,3,0
Betis,Valladolid,5,1
Villarreal,Espanol,1,0
Vallecano,Getafe,1,0
Alaves,Ath Madrid,0,0
Villarreal,Osasuna,4,2
Las Palmas,Valencia,2,3
Valladolid,Barcelona,1,2
Real Madrid,Celta,3,2
Sevilla,Leganes,2,2
Espanol,Betis,1,2
Sociedad,Ath Bilbao,0,0
Girona,Mallorca,1,0
Las Palmas,Vallecano,0,1
Valencia,Getafe,3,0
Celta,Sevilla,3,2
Girona,Villarreal,0,1
Mallorca,Valladolid,2,1
Ath Madrid,Sociedad,4,0
Leganes,Espanol,3,2
Barcelona,Real Madrid,4,3
Ath Bilbao,Alaves,1,0
Betis,Osasuna,1,1
Valladolid,Girona,0,1
Sociedad,Celta,0,1
Sevilla,Las Palmas,1,0
Alaves,Valencia,1,0
Villarreal,Leganes,3,0
Real Madrid,Mallorca,2,1
Vallecano,Betis,2,2
Osasuna,Ath Madrid,2,0
Espanol,Barcelona,0,2
Getafe,Ath Bilbao,0,2
Ath Madrid,Betis,4,1
Barcelona,Villarreal,2,3
Celta,Vallecano,1,2
Las Palmas,Leganes,0,1
Mallorca,Getafe,1,2
Osasuna,Espanol,2,0
Sevilla,Real Madrid,0,2
Sociedad,Girona,3,2
Valencia,Ath Bilbao,0,1
Valladolid,Alaves,0,1
Betis,Valencia,1,1
Real Madrid,Sociedad,2,0
Espanol,Las Palmas,2,0
Leganes,Valladolid,3,0
Alaves,Osasuna,1,1
Getafe,Celta,1,2
Vallecano,Mallorca,0,0
Girona,Ath Madrid,0,4
Villarreal,Sevilla,4,2
Ath Bilbao,Barcelona,0,3
Genoa,Inter,2,2
Parma,Fiorentina,1,1
Empoli,Monza,0,0
Milan,Torino,2,2
Bologna,Udinese,1,1
Verona,Napoli,3,0
Cagliari,Roma,0,0
Lazio,Venezia,3,1
Lecce,Atalanta,0,4
Juventus,Como,3,0
Parma,Milan,2,1
Udinese,Lazio,2,1
Inter,Lecce,2,0
Monza,Genoa,0,1
Fiorentina,Venezia,0,0
Torino,Atalanta,2,1
Napoli,Bologna,3,0
Roma,Empoli,1,2
Cagliari,Como,1,1
Verona,Juventus,0,3
Venezia,Torino,0,1
Inter,Atalanta,4,0
Bologna,Empoli,1,1
Lecce,Cagliari,1,0
Lazio,Milan,2,2
Napoli,Parma,2,1
Fiorentina,Monza,2,2
Genoa,Verona,0,2
Juventus,Roma,0,0
Udinese,Como,1,0
Como,Bologna,2,2
Empoli,Juventus,0,0
Milan,Venezia,4,0
Genoa,Roma,1,1
Atalanta,Fiorentina,3,2
Torino,Lecce,0,0
Cagliari,Napoli,0,4
Monza,Inter,1,1
Parma,Udinese,2,3
Lazio,Verona,2,1
Cagliari,Empoli,0,2
Verona,Torino,2,3
Venezia,Genoa,2,0
Juventus,Napoli,0,0
Lecce,Parma,2,2
Fiorentina,Lazio,2,1
Monza,Bologna,1,2
Roma,Udinese,3,0
Inter,Milan,1,2
Atalanta,Como,2,3
Milan,Lecce,3,0
Udinese,Inter,2,3
Genoa,Juventus,0,3
Bologna,Atalanta,1,1
Torino,Lazio,2,3
Como,Verona,3,2
Roma,Venezia,2,1
Empoli,Fiorentina,0,0
Napoli,Monza,2,0
Parma,Cagliari,2,3
Napoli,Como,3,1
Verona,Venezia,2,1
Udinese,Lecce,1,0
Atalanta,Genoa,5,1
Inter,Torino,3,2
Juventus,Cagliari,1,1
Bologna,Parma,0,0
Lazio,Empoli,2,1
Monza,Roma,1,1
Fiorentina,Milan,2,1
Como,Parma,1,1
Genoa,Bologna,2,2
Milan,Udinese,1,0
Juventus,Lazio,1,0
Empoli,Napoli,0,1
Lecce,Fiorentina,0,6
Venezia,Atalanta,0,2
Cagliari,Torino,3,2
Roma,Inter,0,1
Verona,Monza,0,3
Udinese,Cagliari,2,0
Torino,Como,1,0
Napoli,Lecce,1,0
Atalanta,Verona,6,1
Parma,Empoli,1,1
Lazio,Genoa,3,0
Monza,Venezia,2,2
Inter,Juventus,4,4
Fiorentina,Roma,5,1
Cagliari,Bologna,0,2
Lecce,Verona,1,0
Milan,Napoli,0,2
Empoli,Inter,0,3
Venezia,Udinese,3,2
Atalanta,Monza,2,0
Juventus,Parma,2,2
Genoa,Fiorentina,0,1
Como,Lazio,1,5
Roma,Torino,1,0
Bologna,Lecce,1,0
Udinese,Juventus,0,2
Monza,Milan,0,1
Napoli,Atalanta,0,3
Torino,Fiorentina,0,1
Verona,Roma,3,2
Inter,Venezia,1,0
Empoli,Como,1,0
Parma,Genoa,0,1
Lazio,Cagliari,2,1
Genoa,Como,1,1
Lecce,Empoli,1,1
Venezia,Parma,1,2
Cagliari,Milan,3,3
Juventus,Torino,2,0
Atalanta,Udinese,2,1
Fiorentina,Verona,3,1
Roma,Bologna,2,3
Monza,Lazio,0,1
Inter,Napoli,1,1
Verona,Inter,0,5
Milan,Juventus,0,0
Parma,Atalanta,1,3
Genoa,Cagliari,2,2
Como,Fiorentina,0,2
Torino,Monza,1,1
Napoli,Roma,1,0
Lazio,Bologna,3,0
Empoli,Udinese,1,1
Venezia,Lecce,0,1
Cagliari,Verona,1,0
Como,Monza,1,1
Milan,Empoli,3,0
Bologna,Venezia,3,0
Udinese,Genoa,0,2
Parma,Lazio,3,1
Torino,Napoli,0,1
Lecce,Juventus,1,1
Roma,Atalanta,0,2
Inter,Parma,3,1
Atalanta,Milan,2,1
Genoa,Torino,0,0
Juventus,Bologna,2,2
Roma,Lecce,4,1
Fiorentina,Cagliari,1,0
Verona,Empoli,1,4
Venezia,Como,2,2
Napoli,Lazio,0,1
Monza,Udinese,1,2
Empoli,Torino,0,1
Cagliari,Atalanta,0,1
Udinese,Napoli,1,3
Juventus,Venezia,2,2
Lecce,Monza,2,1
Bologna,Fiorentina,1,0
Parma,Verona,2,3
Como,Roma,2,0
Milan,Genoa,0,0
Lazio,Inter,0,6
Verona,Milan,0,1
Torino,Bologna,0,2
Genoa,Napoli,1,2
Lecce,Lazio,1,2
Roma,Parma,5,0
Venezia,Cagliari,2,1
Atalanta,Empoli,3,2
Monza,Juventus,1,2
Fiorentina,Udinese,1,2
Inter,Como,2,0
Empoli,Genoa,1,2
Parma,Monza,2,1
Cagliari,Inter,0,3
Lazio,Atalanta,1,1
Udinese,Torino,2,2
Napoli,Venezia,1,0
Juventus,Fiorentina,2,2
Milan,Roma,1,1
Como,Lecce,2,0
Bologna,Verona,2,3
Venezia,Empoli,1,1
Fiorentina,Napoli,0,3
Verona,Udinese,0,0
Monza,Cagliari,1,2
Lecce,Genoa,0,0
Torino,Parma,0,0
Roma,Lazio,2,0
Lazio,Como,1,1
Empoli,Lecce,1,3
Udinese,Atalanta,0,0
Torino,Juventus,1,1
Milan,Cagliari,1,1
Genoa,Parma,1,0
Venezia,Inter,0,1
Bologna,Roma,2,2
Napoli,Verona,2,0
Monza,Fiorentina,2,1
Como,Milan,1,2
Atalanta,Juventus,1,1
Inter,Bologna,2,2
Roma,Genoa,3,1
Bologna,Monza,3,1
Juventus,Milan,2,0
Atalanta,Napoli,2,3
Fiorentina,Torino,1,1
Cagliari,Lecce,4,1
Parma,Venezia,1,1
Verona,Lazio,0,3
Inter,Empoli,3,1
Como,Udinese,4,1
Torino,Cagliari,2,0
Como,Atalanta,1,2
Napoli,Juventus,2,1
Empoli,Bologna,1,1
Milan,Parma,3,2
Udinese,Roma,1,2
Lecce,Inter,0,4
Lazio,Fiorentina,1,2
Venezia,Verona,1,1
Genoa,Monza,2,0
Parma,Lecce,1,3
Monza,Verona,0,1
Udinese,Venezia,3,2
Atalanta,Torino,1,1
Bologna,Como,2,0
Juventus,Empoli,4,1
Fiorentina,Genoa,2,1
Milan,Inter,1,1
Roma,Napoli,1,1
Cagliari,Lazio,1,2
Fiorentina,Inter,3,0
Como,Juventus,1,2
Verona,Atalanta,0,5
Empoli,Milan,0,2
Torino,Genoa,1,1
Venezia,Roma,0,1
Cagliari,Parma,2,1
Lazio,Monza,5,1
Lecce,Bologna,0,0
Napoli,Udinese,1,1
Inter,Fiorentina,2,1
Bologna,Torino,3,2
Atalanta,Cagliari,0,0
Lazio,Napoli,2,2
Milan,Verona,1,0
Fiorentina,Como,0,2
Monza,Lecce,0,0
Udinese,Empoli,3,0
Parma,Roma,0,1
Juventus,Inter,1,0
Genoa,Venezia,2,0
Lecce,Udinese,0,1
Parma,Bologna,2,0
Venezia,Lazio,0,0
Torino,Milan,2,1
Inter,Genoa,1,0
Como,Napoli,2,1
Verona,Fiorentina,1,0
Empoli,Atalanta,0,5
Cagliari,Juventus,0,1
Roma,Monza,4,0
Bologna,Milan,2,1
Fiorentina,Lecce,1,0
Atalanta,Venezia,0,0
Napoli,Inter,1,1
Udinese,Parma,1,0
Monza,Torino,0,2
Bologna,Cagliari,2,1
Genoa,Empoli,1,1
Roma,Como,2,1
Milan,Lazio,1,2
Juventus,Verona,2,0
Cagliari,Genoa,1,1
Como,Venezia,1,1
Parma,Torino,2,2
Lecce,Milan,2,3
Inter,Monza,3,2
Verona,Bologna,1,2
Napoli,Fiorentina,2,1
Empoli,Roma,0,1
Juventus,Atalanta,0,4
Lazio,Udinese,1,1
Genoa,Lecce,2,1
Monza,Parma,1,1
Udinese,Verona,0,1
Milan,Como,2,1
Torino,Empoli,1,0
Venezia,Napoli,0,0
Bologna,Lazio,5,0
Roma,Cagliari,1,0
Fiorentina,Juventus,3,0
Atalanta,Inter,0,2
Como,Empoli,1,1
Venezia,Bologna,0,1
Juventus,Genoa,1,0
Lecce,Roma,0,1
Cagliari,Monza,3,0
Fiorentina,Atalanta,1,0
Inter,Udinese,2,1
Napoli,Milan,2,1
Verona,Parma,0,0
Lazio,Torino,1,1
Genoa,Udinese,1,0
Monza,Como,1,3
Parma,Inter,2,2
Milan,Fiorentina,2,2
Lecce,Venezia,1,1
Empoli,Cagliari,0,0
Torino,Verona,1,1
Atalanta,Lazio,0,1
Roma,Juventus,1,1
Bologna,Napoli,1,1
Udinese,Milan,0,4
Venezia,Monza,1,0
Inter,Cagliari,3,1
Juventus,Lecce,2,1
Atalanta,Bologna,2,0
Fiorentina,Parma,0,0
Verona,Genoa,0,0
Como,Torino,1,0
Lazio,Roma,1,1
Napoli,Empoli,3,0
Lecce,Como,0,3
Monza,Napoli,0,1
Roma,Verona,1,0
Empoli,Venezia,2,2
Bologna,Inter,1,0
Milan,Atalanta,0,1
Cagliari,Fiorentina,1,2
Genoa,Lazio,0,2
Parma,Juventus,1,0
Torino,Udinese,2,0
Como,Genoa,1,0
